member_casual,route,route_frequency
casual,Field Blvd & South Water St - McClurg Ct & Ohio St,1
casual,Public Rack - Lowell Ave & Elston Ave - Clark St & Winnemac Ave,1
casual,Sheridan Rd & Argyle St - Ritchie Ct & Banks St,1
casual,Kedzie Ave & Foster Ave - Central Park Ave & Elbridge Ave,1
casual,Theater on the Lake - Clybourn Ave & Division St,1
casual,Wabash Ave & Grand Ave - Kedzie Ave & 48th Pl,1
casual,Kedzie Ave & Chicago Ave - LaSalle St & Illinois St,1
casual,Wabash Ave & 9th St - Western Ave & Fillmore St,1
casual,Clark St & Randolph St - Ada St & Washington Blvd,1
casual,Ashland Ave & Grand Ave - Sangamon St & Lake St,1
casual,Franklin St & Monroe St - Sangamon St & Lake St,1
casual,Public Rack - Damen Ave & 80th St - Damen Ave & 59th St,1
casual,Wells St & Polk St - Racine Ave & Randolph St,1
casual,Paulina St & Flournoy St - Racine Ave & Randolph St,1
casual,Delano Ct & Roosevelt Rd - Clinton St & Madison St,1
casual,Leavitt St & Armitage Ave - Racine Ave & Fullerton Ave (Temp),1
casual,Francisco Ave & Montrose Ave - California Ave & Francis Pl (Temp),1
casual,Kingsbury St & Erie St - Theater on the Lake,1
casual,Daley Center Plaza - Adler Planetarium,1
casual,Racine Ave & Washington Blvd - Kedzie Ave & Chicago Ave,1
casual,Woodlawn Ave & 55th St - Clark St & Bryn Mawr Ave,1
casual,Federal St & Polk St - Sangamon St & Lake St,1
casual,Michigan Ave & Washington St - LaSalle St & Washington St,1
casual,Broadway & Cornelia Ave - Larrabee St & Armitage Ave,1
casual,Orleans St & Hubbard St - Honore St & Division St,1
casual,Public Rack - Woodlawn Ave & 63rd St N - University Ave & 57th St,1
casual,Field Blvd & South Water St - Stetson Ave & South Water St,1
casual,Wolcott (Ravenswood) Ave & Montrose Ave - Clark St & Leland Ave,1
casual,Clark St & Winnemac Ave - Lakefront Trail & Bryn Mawr Ave,1
casual,California Ave & Byron St - Damen Ave & Melrose Ave,1
casual,Lincoln Ave & Waveland Ave - Milwaukee Ave & Rockwell St,1
casual,Damen Ave & Foster Ave - Washtenaw Ave & Lawrence Ave,1
casual,Broadway & Granville Ave - Chicago Ave & Washington St,1
casual,Field Museum - Fairbanks St & Superior St,1
casual,Wells St & 19th St - Calumet Ave & 18th St,1
casual,Wood St & Chicago Ave - Morgan St & Lake St*,1
casual,Central Park Ave & Elbridge Ave - Campbell Ave & North Ave,1
casual,Cityfront Plaza Dr & Pioneer Ct - Franklin St & Chicago Ave,1
casual,Sangamon St & Lake St - Franklin St & Chicago Ave,1
casual,Broadway & Waveland Ave - Broadway & Argyle St,1
casual,Lincoln Ave & Balmoral Ave - Clark St & Winnemac Ave,1
casual,Lincoln Ave & Diversey Pkwy - Richmond St & Diversey Ave,1
casual,Kedzie Ave & Palmer Ct - Richmond St & Diversey Ave,1
casual,Broadway & Wilson Ave - Ritchie Ct & Banks St,1
casual,Racine Ave & Randolph St - Field Museum,1
casual,Warren Park West - Western Ave & Leland Ave,1
casual,Kingsbury St & Kinzie St - Western Ave & Fillmore St,1
casual,Wood St & Chicago Ave - Cherry Ave & Blackhawk St,1
casual,Larrabee St & North Ave - Sangamon St & Lake St,1
casual,Logan Blvd & Elston Ave - California Ave & North Ave,1
casual,Columbus Dr & Randolph St - Clark St & Lake St,1
casual,Damen Ave & Foster Ave - Winthrop Ave & Lawrence Ave,1
casual,Clark St & Leland Ave - Ashland Ave & Belle Plaine Ave,1
casual,Desplaines St & Jackson Blvd - Fairbanks Ct & Grand Ave,1
casual,Public Rack - Western Ave & 111th St - SE - Public Rack - Western Ave & 111th St - SE,1
casual,Ashland Ave & Grace St - Western Ave & Division St,1
casual,Broadway & Belmont Ave - Wood St & Milwaukee Ave,1
casual,Burling St & Diversey Pkwy - Larrabee St & Oak St,1
casual,Lincoln Ave & Addison St - Broadway & Barry Ave,1
casual,Ravenswood Ave & Lawrence Ave - Broadway & Barry Ave,1
casual,Wilton Ave & Belmont Ave - California Ave & Francis Pl (Temp),1
casual,DuSable Lake Shore Dr & Monroe St - Wacker Dr & Washington St,1
casual,Morgan St & Polk St - Lincoln Park Conservatory,1
casual,DuSable Lake Shore Dr & North Blvd - Dearborn St & Monroe St,1
casual,Western Ave & Lunt Ave - Dodge Ave & Church St,1
casual,Washtenaw Ave & Lawrence Ave - Leavitt St & Armitage Ave,1
casual,Wells St & Hubbard St - Adler Planetarium,1
casual,Sheridan Rd & Montrose Ave - Lincoln Ave & Winona St,1
casual,Clark St & Drummond Pl - Leavitt St & North Ave,1
casual,Clinton St & Jackson Blvd - Claremont Ave & Hirsch St,1
casual,Fairbanks St & Superior St - Dearborn St & Erie St,1
casual,Racine Ave & Wrightwood Ave - Ashland Ave & Blackhawk St,1
casual,Laflin St & Cullerton St - Kedzie Ave & Chicago Ave,1
casual,Desplaines St & Jackson Blvd - LaSalle St & Jackson Blvd,1
casual,Wells St & Elm St - Larrabee St & Menomonee St,1
casual,Lincoln Ave & Fullerton Ave - Albany Ave & Belmont Ave,1
casual,Kildare Ave & Montrose Ave - Public Rack - Milwaukee Ave & Diversey Ave,1
casual,Wells St & Elm St - St Louis Ave & Norman Bobbins Ave,1
casual,Ogden Ave & Race Ave - Sangamon St & Washington Blvd,1
casual,Clinton St & Roosevelt Rd - Broadway & Sheridan Rd,1
casual,New St & Illinois St - Damen Ave & Walnut (Lake) St,1
casual,Clark St & Grace St - Clark St & Newport St,1
casual,Ashland Ave & Chicago Ave - LaSalle St & Washington St,1
casual,Clark St & Chicago Ave - Greenview Ave & Fullerton Ave,1
casual,Sheffield Ave & Webster Ave - Lincoln Ave & Waveland Ave,1
casual,Fairbanks Ct & Grand Ave - University Ave & 57th St,1
casual,South Shore Dr & 67th St - Yates Blvd & 75th St,1
casual,State St & Van Buren St - Michigan Ave & Madison St,1
casual,Clark St & Newport St - Damen Ave & Foster Ave,1
casual,Dusable Harbor - Stetson Ave & South Water St,1
casual,Clark St & Grace St - Southport Ave & Waveland Ave,1
casual,Lincoln Ave & Diversey Pkwy - Lincoln Ave & Roscoe St*,1
casual,Sheridan Rd & Buena Ave - Clark St & Leland Ave,1
casual,Broadway & Belmont Ave - Wells St & Concord Ln,1
casual,W Armitage Ave & N Sheffield Ave - Paulina Ave & North Ave,1
casual,Clinton St & Washington Blvd - Cityfront Plaza Dr & Pioneer Ct,1
casual,Halsted St & North Branch St - Cityfront Plaza Dr & Pioneer Ct,1
casual,Albany Ave & Bloomingdale Ave - Seeley Ave & Roscoe St,1
casual,Wood St & Webster Ave - Western Ave & Winnebago Ave,1
casual,California Ave & Francis Pl (Temp) - Wood St & Webster Ave,1
casual,Peoria St & Jackson Blvd - Wood St & Webster Ave,1
casual,W Armitage Ave & N Sheffield Ave - Halsted St & Wrightwood Ave,1
casual,Broadway & Argyle St - Halsted St & Wrightwood Ave,1
casual,Hampden Ct & Diversey Ave - Halsted St & Wrightwood Ave,1
casual,Lawndale Ave & 30th St - Kedzie Ave & 24th St,1
casual,Clark St & Elm St - Broadway & Waveland Ave,1
casual,Halsted St & Clybourn Ave - Damen Ave & Division St,1
casual,Halsted St & Roscoe St - Shields Ave & 43rd St,1
casual,Greenview Ave & Fullerton Ave - Public Rack - Midway Orange Line,1
casual,Lamon Ave & Armitage Ave - Public Rack - Kostner Ave & Armitage Ave,1
casual,Racine Ave & Washington Blvd - Walsh Park,1
casual,Eggleston Ave & 69th St - May St & 69th St,1
casual,Clark St & Grace St - N Green St & W Lake St,1
casual,Halsted St & Polk St - N Green St & W Lake St,1
casual,N Green St & W Lake St - Sedgwick St & Huron St,1
casual,Calumet Ave & 21st St - Michigan Ave & Jackson Blvd,1
casual,Elizabeth St & Randolph St - Damen Ave & Chicago Ave,1
casual,Sheridan Rd & Noyes St (NU) - Wolcott Ave & Fargo Ave,1
casual,Clark St & Montrose Ave - Sedgwick St & Webster Ave,1
casual,Paulina St & 18th St - Green St & Washington Blvd,1
casual,Franklin St & Lake St - Racine Ave & Belmont Ave,1
casual,Logan Blvd & Elston Ave - Clark St & Lincoln Ave,1
casual,Stony Island Ave & 82nd St - East End Ave & 87th St,1
casual,Lincoln Ave & Belmont Ave (Temp) - Clark St & Winnemac Ave,1
casual,Halsted St & Polk St - Sheridan Rd & Argyle St,1
casual,Broadway & Granville Ave - Southport Ave & Wellington Ave,1
casual,Clark St & Randolph St - California Ave & Milwaukee Ave,1
casual,Stave St & Armitage Ave - Wells St & Hubbard St,1
casual,State St & 33rd St - Wells St & 19th St,1
casual,Ogden Ave & Chicago Ave - Michigan Ave & Oak St,1
casual,Narragansett Ave & School St - Narragansett Ave & School St,1
casual,Paulina St & 18th St - Green St & Randolph St*,1
casual,Ashland Ave & Augusta Blvd - Western Ave & Leland Ave,1
casual,Aberdeen St & Randolph St - Clark St & Berwyn Ave,1
casual,Halsted St & Willow St - Peoria St & Jackson Blvd,1
casual,Damen Ave & Grand Ave - Winchester Ave & Elston Ave,1
casual,Dearborn Pkwy & Delaware Pl - DuSable Lake Shore Dr & Wellington Ave,1
casual,Broadway & Cornelia Ave - Clinton St & Roosevelt Rd,1
casual,Milwaukee Ave & Cuyler Ave - Milwaukee Ave & Fullerton Ave,1
casual,Sangamon St & Washington Blvd - Public Rack - California Ave & Cortez St,1
casual,Milwaukee Ave & Fullerton Ave - California Ave & Altgeld St,1
casual,Troy St & Grace St - Sangamon St & Lake St,1
casual,Kimball Ave & Belmont Ave - Sangamon St & Lake St,1
casual,Shedd Aquarium - Green St & Madison St,1
casual,Clifton Ave & Armitage Ave - Green St & Madison St,1
casual,Lakefront Trail & Bryn Mawr Ave - Canal St & Madison St,1
casual,Hoyne Ave & 47th St - Damen Ave & 59th St,1
casual,Cityfront Plaza Dr & Pioneer Ct - Michigan Ave & 18th St,1
casual,Central Ave & Lake St - Public Rack - Central Ave & Corcoran Pl,1
casual,Lakefront Trail & Bryn Mawr Ave - Wilton Ave & Diversey Pkwy,1
casual,Larrabee St & North Ave - Elston Ave & Cortland St,1
casual,Ashland Ave & Division St - Elston Ave & Cortland St,1
casual,Orleans St & Hubbard St - Canal St & Monroe St,1
casual,Ravenswood Ave & Lawrence Ave - Broadway & Granville Ave,1
casual,Larrabee St & Division St - Broadway & Belmont Ave,1
casual,Winchester Ave & Elston Ave - Southport Ave & Wrightwood Ave,1
casual,Lincoln Park Conservatory - Southport Ave & Wrightwood Ave,1
casual,Southport Ave & Wrightwood Ave - Damen Ave & Cortland St,1
casual,McClurg Ct & Ohio St - Sheffield Ave & Willow St,1
casual,Broadway & Barry Ave - Kedzie Ave & Leland Ave,1
casual,Field Blvd & South Water St - New St & Illinois St,1
casual,St. Clair St & Erie St - Halsted St & North Branch St,1
casual,Michigan Ave & Washington St - Broadway & Barry Ave,1
casual,Leavitt St & Belmont Ave - Broadway & Barry Ave,1
casual,Damen Ave & Wellington Ave - Michigan Ave & Lake St,1
casual,Michigan Ave & Madison St - Rhodes Ave & 32nd St,1
casual,Albany Ave & Montrose Ave - Theater on the Lake,1
