member_casual,route,route_frequency,avg_ride_length_second
casual,Lincoln Ave & Roscoe St* - Clark St & Elmdale Ave,1,442
casual,DuSable Lake Shore Dr & Belmont Ave - Leavitt St & Addison St,1,1504
casual,Larrabee St & North Ave - State St & Van Buren St,1,2214
casual,Clark St & Berwyn Ave - Lincoln Ave & Balmoral Ave,1,779
casual,Blue Island Ave & 18th St - McCormick Place,1,787
casual,Public Rack - California Ave & Touhy Ave - NW - Glenwood Ave & Morse Ave,1,667
casual,Narragansett & Wrightwood - Long Ave & Belden Ave,1,693
casual,Campbell Ave & North Ave - Racine Ave & Fullerton Ave,1,636
casual,Whipple/Irving Park - California Ave & Fletcher St,1,318
casual,Lincoln Ave & Addison St - Seeley Ave & Roscoe St,1,880
casual,Lincoln Ave & Waveland Ave - Milwaukee Ave & Wabansia Ave,1,1430
casual,Wood St & Webster Ave - Western Ave & Winnebago Ave,1,452
casual,California Ave & Francis Pl (Temp) - Wood St & Webster Ave,1,743
casual,California Ave & Milwaukee Ave - Wood St & Webster Ave,1,569
casual,Wilton Ave & Diversey Pkwy - Southport Ave & Irving Park Rd,1,1604
casual,Stockton Dr & Wrightwood Ave - California Ave & Cortez St,1,1885
casual,Damen Ave & Grand Ave - Leavitt St & Belmont Ave,1,746
casual,Stetson Ave & South Water St - St. Clair St & Erie St,1,1361
casual,Federal St & Polk St - Lake Park Ave & 53rd St,1,2339
casual,California Ave & Altgeld St - Artesian Ave & Hubbard St,1,1055
casual,Long Ave & Belmont Ave - Kilpatrick Ave & Parker Ave,1,1358
casual,Lamon Ave & Armitage Ave - Public Rack - Kostner Ave & Armitage Ave,1,406
casual,Elston Ave & Cortland St - Sheridan Rd & Irving Park Rd,1,1351
casual,Wells St & Walton St - W Armitage Ave & N Sheffield Ave,1,890
casual,State St & Kinzie St - N Carpenter St & W Lake St,1,498
casual,Milwaukee Ave & Grand Ave - Wilton Ave & Belmont Ave,1,967
casual,Orleans St & Hubbard St - Desplaines St & Jackson Blvd,1,674
casual,Morgan St & Polk St - Damen Ave & Chicago Ave,1,1331
casual,Clark St & Elmdale Ave - Warren Park East,1,978
