weeknum,end_station_name,member_casual,count_of_users
26,Rush St & Superior St,casual,179
29,Fairbanks Ct & Grand Ave,casual,179
28,Peoria St & Jackson Blvd,casual,178
20,Clark St & Elm St,casual,177
23,Eckhart Park,casual,177
18,Michigan Ave & Lake St,casual,176
25,Southport Ave & Clybourn Ave,casual,176
28,Kingsbury St & Erie St,casual,176
18,Wells St & Huron St,casual,175
20,Sheffield Ave & Webster Ave,casual,175
21,McClurg Ct & Ohio St,casual,175
23,Broadway & Sheridan Rd,casual,175
27,California Ave & Milwaukee Ave,casual,174
28,Mies van der Rohe Way & Chestnut St,casual,174
24,Sheffield Ave & Willow St,casual,173
24,Pine Grove Ave & Waveland Ave,casual,173
29,California Ave & Milwaukee Ave,casual,173
30,Fairbanks Ct & Grand Ave,casual,173
15,Shedd Aquarium,casual,172
20,McClurg Ct & Ohio St,casual,172
23,Wabash Ave & Wacker Pl,casual,172
21,Rush St & Cedar St,casual,171
24,Clinton St & Lake St,casual,171
28,Damen Ave & Pierce Ave,casual,171
22,State St & Chicago Ave,casual,170
28,Larrabee St & Division St,casual,170
28,Southport Ave & Belmont Ave,casual,169
30,Larrabee St & Webster Ave,casual,169
23,Lakefront Trail & Wilson Ave,casual,168
29,Southport Ave & Wellington Ave,casual,168
20,New St & Illinois St,casual,167
21,Desplaines St & Kinzie St,casual,167
21,Greenview Ave & Fullerton Ave,casual,167
21,Halsted St & Clybourn Ave,casual,166
23,McClurg Ct & Erie St,casual,166
24,Lakefront Trail & Wilson Ave,casual,166
26,Millennium Park,casual,166
20,DuSable Lake Shore Dr & Wellington Ave,casual,165
21,Sheffield Ave & Webster Ave,casual,165
23,California Ave & Milwaukee Ave,casual,165
30,Clark St & Winnemac Ave,casual,165
20,Mies van der Rohe Way & Chicago Ave,casual,164
21,Clark St & Elm St,casual,164
22,Mies van der Rohe Way & Chestnut St,casual,164
27,Field Blvd & South Water St,casual,164
28,Sheffield Ave & Wrightwood Ave,casual,164
10,Streeter Dr & Grand Ave,casual,163
15,Bissell St & Armitage Ave*,casual,163
20,Columbus Dr & Randolph St,casual,163
21,Clark St & Grace St,casual,162
22,California Ave & Milwaukee Ave,casual,162
15,Sheffield Ave & Wellington Ave,casual,161
21,Mies van der Rohe Way & Chicago Ave,casual,161
26,DuSable Lake Shore Dr & Diversey Pkwy,casual,161
30,Honore St & Division St,casual,161
22,Indiana Ave & Roosevelt Rd,casual,160
22,Broadway & Waveland Ave,casual,160
23,Rush St & Superior St,casual,160
26,Clark St & Winnemac Ave,casual,160
28,Clark St & Winnemac Ave,casual,160
20,Broadway & Waveland Ave,casual,159
26,Southport Ave & Belmont Ave,casual,159
26,Wabash Ave & Wacker Pl,casual,159
27,Theater on the Lake,casual,159
22,Green St & Madison St,casual,158
21,Clark St & North Ave,casual,157
24,Rush St & Superior St,casual,157
29,Lakefront Trail & Wilson Ave,casual,157
16,Streeter Dr & Grand Ave,casual,156
18,Broadway & Cornelia Ave,casual,156
22,Clinton St & Madison St,casual,156
24,Lincoln Park Conservatory,casual,156
25,Delano Ct & Roosevelt Rd,casual,156
25,Lincoln Park Conservatory,casual,156
28,Field Blvd & South Water St,casual,156
29,Mies van der Rohe Way & Chestnut St,casual,156
15,Halsted St & Dickens Ave,casual,155
20,State St & Chicago Ave,casual,155
28,Southport Ave & Wellington Ave,casual,155
15,Sheffield Ave & Wrightwood Ave,casual,154
21,Halsted St & Fulton St,casual,154
29,Damen Ave & Pierce Ave,casual,154
24,Franklin St & Illinois St,casual,153
29,Honore St & Division St,casual,153
15,Racine Ave & Belmont Ave,casual,152
21,Ashland Ave & Division St,casual,152
20,Kimbark Ave & 53rd St,casual,151
23,Lincoln Ave & Diversey Pkwy,casual,151
29,Larrabee St & Division St,casual,151
22,Clarendon Ave & Gordon Ter,casual,150
23,Mies van der Rohe Way & Chestnut St,casual,150
15,Columbus Dr & Randolph St,casual,149
20,Canal St & Adams St,casual,148
20,Clark St & Wrightwood Ave,casual,148
18,New St & Illinois St,casual,147
22,Damen Ave & Thomas St (Augusta Blvd),casual,147
15,Federal St & Polk St,casual,146
15,Broadway & Sheridan Rd,casual,146
23,May St & Taylor St,casual,146
25,Honore St & Division St,casual,146
27,Ashland Ave & Grace St,casual,146
13,DuSable Lake Shore Dr & Monroe St,casual,145
