hour,end_station_name,member_casual,count_of_users
11,Halsted St & Clybourn Ave,casual,122
16,Wilton Ave & Belmont Ave,casual,122
15,Columbus Dr & Randolph St,casual,122
18,Racine Ave & Belmont Ave,casual,121
13,Damen Ave & Pierce Ave,casual,121
20,Clark St & Winnemac Ave,casual,121
15,Fairbanks Ct & Grand Ave,casual,121
19,New St & Illinois St,casual,121
10,Clark St & Lincoln Ave,casual,121
23,Michigan Ave & Lake St,casual,121
18,LaSalle Dr & Huron St,casual,120
17,LaSalle Dr & Huron St,casual,120
10,Ashland Ave & Division St,casual,120
12,State St & Chicago Ave,casual,120
19,Broadway & Sheridan Rd,casual,120
19,Larrabee St & Division St,casual,120
16,May St & Taylor St,casual,120
16,Southport Ave & Clybourn Ave,casual,120
19,Indiana Ave & Roosevelt Rd,casual,120
13,Pine Grove Ave & Waveland Ave,casual,120
11,Damen Ave & Pierce Ave,casual,119
16,Greenview Ave & Fullerton Ave,casual,119
16,DuSable Lake Shore Dr & Wellington Ave,casual,119
15,New St & Illinois St,casual,119
11,LaSalle St & Illinois St,casual,119
7,LaSalle St & Illinois St,casual,119
14,Canal St & Madison St,casual,119
13,Southport Ave & Wellington Ave,casual,119
17,Lincoln Ave & Fullerton Ave,casual,119
8,Clark St & Wrightwood Ave,casual,119
20,Clarendon Ave & Gordon Ter,casual,119
22,Millennium Park,casual,119
13,Clarendon Ave & Gordon Ter,casual,119
15,Clinton St & Madison St,casual,118
13,Field Museum,casual,118
13,May St & Taylor St,casual,118
17,State St & Harrison St,casual,118
17,DuSable Lake Shore Dr & Wellington Ave,casual,118
22,Sheffield Ave & Waveland Ave,casual,118
8,DuSable Lake Shore Dr & North Blvd,casual,118
15,Michigan Ave & Oak St,casual,117
19,Clark St & Newport St,casual,117
15,Clark St & Newport St,casual,117
10,LaSalle St & Illinois St,casual,117
11,Clark St & Winnemac Ave,casual,117
16,Fairbanks Ct & Grand Ave,casual,117
10,DuSable Lake Shore Dr & Diversey Pkwy,casual,117
20,LaSalle St & Illinois St,casual,117
17,Michigan Ave & 8th St,casual,117
17,Racine Ave & Belmont Ave,casual,117
22,Sheffield Ave & Wrightwood Ave,casual,117
13,Honore St & Division St,casual,116
13,California Ave & Milwaukee Ave,casual,116
19,Larrabee St & Webster Ave,casual,116
12,Honore St & Division St,casual,116
9,Shedd Aquarium,casual,116
12,Wabash Ave & Wacker Pl,casual,116
12,Clinton St & Madison St,casual,116
15,Bissell St & Armitage Ave*,casual,115
20,Ellis Ave & 55th St,casual,115
9,Canal St & Madison St,casual,115
16,Larrabee St & Division St,casual,115
15,Kingsbury St & Erie St,casual,115
19,Lakefront Trail & Wilson Ave,casual,115
18,Wabash Ave & Grand Ave,casual,115
19,Kimbark Ave & 53rd St,casual,114
14,Indiana Ave & Roosevelt Rd,casual,114
12,Kimbark Ave & 53rd St,casual,114
19,Rush St & Superior St,casual,114
16,Field Blvd & South Water St,casual,114
11,Theater on the Lake,casual,114
17,Milwaukee Ave & Grand Ave,casual,114
11,Clark St & Schiller St,casual,113
18,Marine Dr & Ainslie St,casual,113
19,Peoria St & Jackson Blvd,casual,113
20,Green St & Madison St,casual,113
11,May St & Taylor St,casual,113
18,Desplaines St & Kinzie St,casual,113
17,Wabash Ave & 16th St,casual,112
12,Damen Ave & Pierce Ave,casual,112
13,Canal St & Madison St,casual,112
12,Rush St & Superior St,casual,112
20,State St & Chicago Ave,casual,112
15,Wells St & Evergreen Ave,casual,112
17,Wabash Ave & 9th St,casual,111
18,Wabash Ave & 9th St,casual,111
