end_station_name,member_casual,count_of_users,,,end_station_name,count_of_users
Public Rack - Woodlawn Ave & 63rd St N,casual,77,,,,
Oakley Ave & Touhy Ave,casual,77,,,,
Greenwood Ave & 97th St,casual,77,,,,
N Clark St & W Elm St,casual,76,,,,
Elmwood Ave & Austin St,casual,76,,,,
Kilbourn & Roscoe,casual,76,,,,
Spaulding Ave & Division St,casual,75,,,,
Kostner Ave & Wrightwood Ave,casual,73,,,,
Valli Produce - Evanston Plaza,casual,71,,,,
Pulaski Rd & Eddy St,casual,69,,,,
Cottage Grove Ave & 47th St,casual,66,,,,
Clark St & Jarvis Ave,casual,65,,,,
Elston Ave & Henderson St,casual,64,,,,
Wood St & 35th St,casual,62,,,,
Narragansett & Wrightwood,casual,61,,,,
Claremont Ave & Hirsch St,casual,61,,,,
W Oakdale Ave & N Broadway,casual,61,,,,
Lavergne & Fullerton,casual,61,,,,
Kilpatrick Ave & Parker Ave,casual,60,,,,
St. Louis Ave & Balmoral Ave,casual,60,,,,
Bosworth Ave & Howard St,casual,60,,,,
Princeton Ave & 47th St,casual,59,,,,
Western Ave & Lunt Ave,casual,59,,,,
Ashland Ave & Archer Ave,casual,58,,,,
Western Ave & 21st St,casual,58,,,,
Kedzie Ave & Leland Ave,casual,57,,,,
Millard Ave & 26th St,casual,56,,,,
Public Rack - Hamlin Ave & Montrose Ave,casual,56,,,,
Sawyer Ave & Irving Park Rd,casual,55,,,,
Cicero Ave & Lake St,casual,55,,,,
Woodlawn Ave & Lake Park Ave,casual,54,,,,
Central Ave & Parker Ave,casual,54,,,,
Conservatory Dr & Lake St,casual,54,,,,
Kenosha & Wellington,casual,53,,,,
Fullerton & Monitor,casual,53,,,,
Washtenaw Ave & Polk St,casual,52,,,,
Western Ave & 24th St,casual,52,,,,
Cottage Grove Ave & 63rd St,casual,51,,,,
Christiana Ave & Lawrence Ave,casual,51,,,,
Central Park Ave & 24th St,casual,51,,,,
Public Rack - Lowell Ave & Elston Ave,casual,51,,,,
Campbell Ave & Irving Park Rd,casual,50,,,,
Central St & Girard Ave,casual,49,,,,
Central Park Ave & Ogden Ave,casual,49,,,,
63rd St Beach,casual,49,,,,
Public Rack - Milwaukee Ave & Higgins Ave,casual,49,,,,
Fairfield Ave & 44th St,casual,48,,,,
Sacramento Blvd & Franklin Blvd,casual,48,,,,
MTV Hubbard St,casual,48,,,,
Public Rack - Milwaukee Ave & Diversey Ave,casual,47,,,,
MLK Jr Dr & 56th St,casual,47,,,,
Kenton Ave & Madison St,casual,46,,,,
Orange & Addison,casual,46,,,,
Albany Ave & 26th St,casual,46,,,,
Shabbona Park,casual,46,,,,
Chicago State University,casual,46,,,,
2112 W Peterson Ave,casual,45,,,,
Indiana Ave & 40th St,casual,45,,,,
Dodge Ave & Main St,casual,44,,,,
Burnham Greenway & 105th St,casual,44,,,,
Western Blvd & 48th Pl,casual,42,,,,
Rockwell St & Archer Ave,casual,42,,,,
Public Rack - Midway Orange Line,casual,41,,,,
Public Rack - Washtenaw Ave & Devon Ave,casual,41,,,,
Kedzie Ave & Foster Ave,casual,41,,,,
Manor Ave & Leland Ave,casual,40,,,,
Lincoln Ave & Balmoral Ave,casual,40,,,,
Calumet Ave & 35th St,casual,40,,,,
La Villita Park (Albany/30th),casual,40,,,,
Maplewood Ave & Peterson Ave,casual,40,,,,
Public Rack - Monticello Ave & Belmont Ave,casual,39,,,,
Sacramento Blvd & Addison St,casual,39,,,,
Kildare Ave & 26th St,casual,39,,,,
Public Rack - Washtenaw Ave & Superior St,casual,39,,,,
Kostner Ave & Adams St,casual,39,,,,
Richmond St & Lincoln Ave,casual,38,,,,
Damen Ave & 59th St,casual,38,,,,
Central Ave & Chicago Ave,casual,38,,,,
Kedzie Ave & 110th St,casual,38,,,,
Kildare Ave & Division St,casual,38,,,,
Central Park Ave & Douglas Blvd,casual,38,,,,
Latrobe Ave & Chicago Ave,casual,37,,,,
Bernard St & Elston Ave,casual,37,,,,
Avenue O & 134th St,casual,37,,,,
Public Rack - Hamlin Ave & Fullerton Ave,casual,37,,,,
Stony Island Ave & 64th St,casual,36,,,,
Washtenaw Ave & Peterson Ave,casual,36,,,,
Western Ave & Gunnison St,casual,36,,,,
Lincolnwood Dr & Central St,casual,36,,,,
Cicero Ave & Grace St,casual,36,,,,
Kedzie Ave & 52nd St,casual,36,,,,
Halsted St & 47th Pl,casual,36,,,,
Public Rack - Rockwell & Division,casual,35,,,,
Public Rack - Cicero Ave & Wrightwood Ave,casual,35,,,,
Pulaski Rd & Eddy St (Temp),casual,34,,,,
Wolcott Ave & Fargo Ave,casual,34,,,,
Commercial Ave & 130th St,casual,34,,,,
Cottage Grove Ave & 67th St,casual,34,,,,
Public Rack - Western Blvd & 49th St,casual,33,,,,
MLK Jr Dr & 47th St,casual,33,,,,
Ashland Ave & 50th St,casual,33,,,,
