start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Laflin St & Cullerton St,casual,279,,,,
Kimball Ave & Belmont Ave,casual,278,,,,
Paulina St & Flournoy St,casual,278,,,,
Leavitt St & Addison St,casual,272,,,,
St. Louis Ave & Fullerton Ave,casual,270,,,,
California Ave & Francis Pl,casual,268,,,,
Damen Ave & Madison St,casual,267,,,,
Rhodes Ave & 32nd St,casual,267,,,,
Clinton St & 18th St,casual,263,,,,
Damen Ave & Cullerton St,casual,260,,,,
Claremont Ave & Hirsch St,casual,258,,,,
Halsted St & 18th St,casual,257,,,,
Morgan Ave & 14th Pl,casual,257,,,,
N Sheffield Ave & W Wellington Ave,casual,256,,,,
Buckingham Fountain (Temp),casual,254,,,,
Racine Ave & Randolph St,casual,250,,,,
Wabash Ave & Cermak Rd,casual,250,,,,
Campbell Ave & Montrose Ave,casual,249,,,,
Kosciuszko Park,casual,249,,,,
Morgan St & 31st St,casual,247,,,,
Wood St & Webster Ave,casual,244,,,,
Hoyne Ave & Balmoral Ave,casual,242,,,,
Damen Ave & Wabansia Ave,casual,242,,,,
Leavitt St & Lawrence Ave,casual,239,,,,
Green St & Randolph St*,casual,238,,,,
Southport Ave & Clark St,casual,236,,,,
Wentworth Ave & 33rd St,casual,236,,,,
California Ave & Byron St,casual,235,,,,
Rockwell St & Eastwood Ave,casual,234,,,,
Wentworth Ave & Cermak Rd*,casual,234,,,,
Spaulding Ave & Division St,casual,233,,,,
Damen Ave & Walnut (Lake) St,casual,232,,,,
Hermitage Ave & Polk St,casual,232,,,,
Western Ave & Fillmore St,casual,232,,,,
Shields Ave & 31st St,casual,232,,,,
Emerald Ave & 31st St,casual,228,,,,
Ravenswood Ave & Berteau Ave,casual,228,,,,
Ogden Ave & Congress Pkwy,casual,227,,,,
Paulina St & Howard St,casual,227,,,,
Oakley Ave & Irving Park Rd,casual,225,,,,
Rockwell St & Fletcher St,casual,225,,,,
Harper Ave & 59th St,casual,224,,,,
Wood St & Taylor St (Temp),casual,223,,,,
Western Ave & Grace St,casual,220,,,,
Wilton Ave & Diversey Pkwy*,casual,220,,,,
Avers Ave & Belmont Ave,casual,220,,,,
Sheridan Rd & Columbia Ave,casual,217,,,,
Halsted St & Archer Ave,casual,216,,,,
Racine Ave & 15th St,casual,215,,,,
Cherry Ave & Blackhawk St,casual,215,,,,
Western Ave & 21st St,casual,214,,,,
N Southport Ave & W Newport Ave,casual,214,,,,
Greenwood Ave & 47th St,casual,211,,,,
Kedzie Ave & 48th Pl,casual,209,,,,
Drake Ave & Addison St,casual,206,,,,
N Carpenter St & W Lake St,casual,205,,,,
Fort Dearborn Dr & 31st St*,casual,203,,,,
Washtenaw Ave & Lawrence Ave,casual,201,,,,
Elston Ave & Wabansia Ave,casual,199,,,,
Wallace St & 35th St,casual,196,,,,
Elston Ave & George St,casual,196,,,,
Christiana Ave & Lawrence Ave,casual,195,,,,
Kedzie Ave & Leland Ave,casual,193,,,,
Clark St & Columbia Ave,casual,192,,,,
Central St Metra,casual,190,,,,
State St & 19th St,casual,190,,,,
Campbell Ave & Augusta Blvd,casual,190,,,,
Ashland Ave & Archer Ave,casual,189,,,,
Calumet Ave & 35th St,casual,189,,,,
Troy St & Elston Ave,casual,188,,,,
Lake Park Ave & 47th St,casual,180,,,,
Francisco Ave & Montrose Ave,casual,180,,,,
Wells St & 19th St,casual,177,,,,
California Ave & Francis Pl (Temp),casual,175,,,,
May St & Cullerton St,casual,174,,,,
Emerald Ave & 28th St,casual,172,,,,
Glenwood Ave & Touhy Ave,casual,170,,,,
Canal St & Harrison St,casual,169,,,,
Halsted St & 21st St,casual,167,,,,
Narragansett & Wrightwood,casual,167,,,,
N Paulina St & Lincoln Ave,casual,165,,,,
N Shore Channel Trail & Argyle St,casual,164,,,,
Indiana Ave & 31st St,casual,161,,,,
Halsted St & 35th St,casual,160,,,,
Cottage Grove Ave & 51st St,casual,159,,,,
Francisco Ave & Foster Ave,casual,158,,,,
Monticello Ave & Irving Park Rd,casual,157,,,,
Central Park Ave & North Ave,casual,157,,,,
Troy St & Grace St,casual,157,,,,
MLK Jr Dr & Pershing Rd,casual,156,,,,
Harlem & Irving Park,casual,154,,,,
Albany Ave & Montrose Ave,casual,154,,,,
Elston Ave & Henderson St,casual,154,,,,
Ashland Ave & 13th St,casual,153,,,,
Dodge Ave & Church St,casual,153,,,,
Knox Ave & Montrose Ave,casual,153,,,,
Winchester (Ravenswood) Ave & Balmoral Ave,casual,152,,,,
Manor Ave & Leland Ave,casual,150,,,,
Lincoln Ave & Byron St,casual,149,,,,
Long & Irving Park,casual,148,,,,
N Damen Ave & W Chicago Ave,casual,148,,,,
Western Ave & Lunt Ave,casual,147,,,,
Western Ave & Congress Pkwy,casual,146,,,,
Pulaski Rd & 51st St,casual,146,,,,
Western Ave & Berteau Ave,casual,144,,,,
Wentworth Ave & 35th St,casual,143,,,,
Sawyer Ave & Irving Park Rd,casual,141,,,,
Evanston Civic Center,casual,137,,,,
Prairie Ave & 43rd St,casual,137,,,,
Francisco Ave & Bloomingdale Ave,casual,136,,,,
Kilbourn & Roscoe,casual,135,,,,
Indiana Ave & 26th St,casual,135,,,,
Keystone Ave & Fullerton Ave,casual,133,,,,
Cottage Grove Ave & Oakwood Blvd,casual,133,,,,
Sayre & Diversey,casual,132,,,,
Kedzie Ave & Lake St,casual,132,,,,
Sheridan Rd & Greenleaf Ave,casual,130,,,,
Warren Park West,casual,129,,,,
MTV Hubbard St,casual,128,,,,
Sacramento Blvd & Addison St,casual,127,,,,
Lincoln Ave & Winona St,casual,126,,,,
Leavitt St & Archer Ave,casual,124,,,,
Smith Park,casual,122,,,,
Ogden Ave & Roosevelt Rd,casual,121,,,,
Eastlake Ter & Howard St,casual,120,,,,
California Ave & Lake St,casual,118,,,,
Western Ave & Monroe St,casual,118,,,,
Shields Ave & 28th Pl,casual,117,,,,
State St & 95th St,casual,117,,,,
Keystone Ave & Montrose Ave,casual,117,,,,
Western Ave & Granville Ave,casual,115,,,,
Western Ave & Gunnison St,casual,111,,,,
Prairie Ave & Garfield Blvd,casual,110,,,,
Malcolm X College,casual,108,,,,
St. Louis Ave & Balmoral Ave,casual,108,,,,
Kedzie Ave & Chicago Ave,casual,108,,,,
Drake Ave & Montrose Ave,casual,107,,,,
Halsted St & North Branch St,casual,107,,,,
Public Rack - Kostner Ave & Armitage Ave,casual,107,,,,
Campbell Ave & Irving Park Rd,casual,106,,,,
Burnham Greenway & 112th St,casual,104,,,,
Clark St & Touhy Ave,casual,101,,,,
Wentworth Ave & 24th St,casual,101,,,,
Central St & Girard Ave,casual,100,,,,
Bernard St & Elston Ave,casual,99,,,,
Central Park Ave & Ogden Ave,casual,97,,,,
Conservatory Dr & Lake St,casual,97,,,,
Kedzie Ave & George St,casual,97,,,,
Albany Ave & Belmont Ave,casual,96,,,,
Elmwood Ave & Austin St,casual,96,,,,
Kedzie Ave & Foster Ave,casual,95,,,,
Cottage Grove Ave & 63rd St,casual,94,,,,
Kildare Ave & Montrose Ave,casual,93,,,,
Whipple/Irving Park,casual,92,,,,
Central Ave & Parker Ave,casual,91,,,,
Francisco Ave & Chicago Ave,casual,91,,,,
Racine Ave & 35th St,casual,89,,,,
Dodge Ave & Mulford St,casual,89,,,,
Woodlawn Ave & Lake Park Ave,casual,89,,,,
Budlong Woods Library,casual,88,,,,
Cottage Grove Ave & 47th St,casual,88,,,,
Clark St & Jarvis Ave,casual,87,,,,
