hour,start_station_name,member_casual,count_of_users
14,Michigan Ave & 8th St,casual,133
17,California Ave & Milwaukee Ave,casual,133
8,Clark St & Elm St,casual,132
15,Kingsbury St & Kinzie St,casual,132
17,Field Museum,casual,132
16,Southport Ave & Waveland Ave,casual,132
16,Montrose Harbor,casual,132
15,Clark St & Lincoln Ave,casual,132
16,Broadway & Cornelia Ave,casual,132
17,DuSable Lake Shore Dr & Wellington Ave,casual,132
17,Canal St & Jackson Blvd,casual,131
15,Ashland Ave & Division St,casual,131
18,Adler Planetarium,casual,131
12,Wabash Ave & Grand Ave,casual,130
16,Larrabee St & Webster Ave,casual,130
18,Shedd Aquarium,casual,130
12,Broadway & Barry Ave,casual,129
14,DuSable Lake Shore Dr & Belmont Ave,casual,129
16,Ravenswood Ave & Lawrence Ave,casual,129
16,Clark St & Randolph St,casual,129
17,Clark St & Wellington Ave,casual,129
15,Orleans St & Merchandise Mart Plaza,casual,128
8,Kingsbury St & Kinzie St,casual,128
15,Michigan Ave & 8th St,casual,128
18,Wells St & Huron St,casual,128
14,Columbus Dr & Randolph St,casual,128
12,Sheffield Ave & Fullerton Ave,casual,128
18,Southport Ave & Wrightwood Ave,casual,128
4,,casual,128
12,Columbus Dr & Randolph St,casual,128
11,Michigan Ave & 8th St,casual,128
13,Wells St & Elm St,casual,128
20,Michigan Ave & Oak St,casual,128
10,Dusable Harbor,casual,128
14,Kingsbury St & Kinzie St,casual,127
16,Clark St & Schiller St,casual,127
17,Larrabee St & Kingsbury St,casual,127
17,Clinton St & Lake St,casual,127
18,Clark St & Winnemac Ave,casual,127
17,Sheffield Ave & Kingsbury St,casual,126
9,Ellis Ave & 60th St,casual,126
17,Stockton Dr & Wrightwood Ave,casual,126
17,Dearborn St & Monroe St,casual,126
16,Canal St & Madison St,casual,126
17,Halsted St & Wrightwood Ave,casual,126
15,Wilton Ave & Belmont Ave,casual,126
12,Clark St & Lincoln Ave,casual,126
16,McClurg Ct & Ohio St,casual,126
20,Wilton Ave & Belmont Ave,casual,126
17,Wells St & Hubbard St,casual,125
17,Daley Center Plaza,casual,125
14,Clark St & Elm St,casual,125
17,Columbus Dr & Randolph St,casual,125
18,Southport Ave & Wellington Ave,casual,125
20,Ellis Ave & 60th St,casual,125
19,Clark St & Wrightwood Ave,casual,125
16,Sheffield Ave & Wellington Ave,casual,125
13,DuSable Lake Shore Dr & Belmont Ave,casual,125
17,Field Blvd & South Water St,casual,125
13,Broadway & Cornelia Ave,casual,125
14,Sheffield Ave & Fullerton Ave,casual,125
19,Indiana Ave & Roosevelt Rd,casual,125
17,Federal St & Polk St,casual,124
19,Lincoln Ave & Fullerton Ave,casual,124
17,Clark St & Schiller St,casual,124
16,Columbus Dr & Randolph St,casual,124
20,Clark St & Newport St,casual,124
15,DuSable Lake Shore Dr & Belmont Ave,casual,124
10,DuSable Lake Shore Dr & North Blvd,casual,124
18,Clark St & Schiller St,casual,124
15,Ellis Ave & 55th St,casual,123
18,Canal St & Adams St,casual,123
17,Sheffield Ave & Webster Ave,casual,123
12,Michigan Ave & Washington St,casual,123
18,Wabash Ave & Roosevelt Rd,casual,123
15,Pine Grove Ave & Waveland Ave,casual,123
17,Milwaukee Ave & Grand Ave,casual,122
14,LaSalle St & Illinois St,casual,122
13,Southport Ave & Waveland Ave,casual,122
16,Clinton St & Lake St,casual,122
19,Wilton Ave & Belmont Ave,casual,122
14,Ashland Ave & Division St,casual,122
15,Lincoln Park Conservatory,casual,122
14,Southport Ave & Waveland Ave,casual,122
18,Michigan Ave & Lake St,casual,121
18,Stockton Dr & Wrightwood Ave,casual,121
14,Montrose Harbor,casual,121
18,Broadway & Sheridan Rd,casual,121
19,LaSalle St & Illinois St,casual,120
14,Lakeview Ave & Fullerton Pkwy,casual,120
15,Halsted St & Clybourn Ave,casual,120
18,Fairbanks Ct & Grand Ave,casual,120
13,Columbus Dr & Randolph St,casual,120
18,Sheffield Ave & Webster Ave,casual,120
16,Clark St & Grace St,casual,120
13,DuSable Lake Shore Dr & Wellington Ave,casual,120
14,Clark St & Wrightwood Ave,casual,119
13,Kingsbury St & Kinzie St,casual,119
11,Wabash Ave & Grand Ave,casual,119
17,Michigan Ave & Jackson Blvd,casual,119
13,Broadway & Barry Ave,casual,119
12,Lincoln Ave & Fullerton Ave,casual,119
14,Lincoln Park Conservatory,casual,119
17,Wood St & Milwaukee Ave,casual,119
15,Halsted St & Roscoe St,casual,119
20,Clark St & Elm St,casual,119
18,Southport Ave & Waveland Ave,casual,119
10,Columbus Dr & Randolph St,casual,118
16,Halsted St & Clybourn Ave,casual,118
19,Damen Ave & Pierce Ave,casual,118
14,Broadway & Barry Ave,casual,118
18,Racine Ave & Belmont Ave,casual,118
16,Wilton Ave & Diversey Pkwy,casual,118
16,Lincoln Ave & Fullerton Ave,casual,118
18,Clark St & Drummond Pl,casual,118
15,Broadway & Cornelia Ave,casual,117
