seasons,start_station_name,member_casual,count_of_users
2023SpringRide,Mies van der Rohe Way & Chestnut St,casual,318
2023SpringRide,Morgan St & Polk St,casual,317
2023SpringRide,Michigan Ave & Jackson Blvd,casual,316
2023SpringRide,Wood St & Milwaukee Ave,casual,316
2023SpringRide,Clark St & Schiller St,casual,314
2023SummerRide,Lincoln Ave & Belmont Ave (Temp),casual,314
2023SummerRide,900 W Harrison St,casual,313
2023SummerRide,Sheffield Ave & Willow St,casual,311
2023FallRide,Sheffield Ave & Waveland Ave,casual,311
2023FallRide,Michigan Ave & Lake St,casual,311
2023SpringRide,Clark St & Chicago Ave,casual,310
2023SpringRide,Sangamon St & Lake St,casual,307
2023SummerRide,Lake Park Ave & 56th St,casual,307
2023SummerRide,Stetson Ave & South Water St,casual,307
2023SpringRide,Clark St & Wellington Ave,casual,306
2023SummerRide,State St & Pearson St,casual,306
2023SummerRide,Benson Ave & Church St,casual,306
2023FallRide,Clark St & Winnemac Ave,casual,305
2023FallRide,Stockton Dr & Wrightwood Ave,casual,305
2023SpringRide,Racine Ave & Fullerton Ave,casual,304
2023SpringRide,McClurg Ct & Ohio St,casual,301
2023SummerRide,Ogden Ave & Race Ave,casual,301
2023SpringRide,Aberdeen St & Randolph St,casual,300
2023SpringRide,Honore St & Division St,casual,299
2023SpringRide,DuSable Lake Shore Dr & Belmont Ave,casual,299
2023FallRide,Halsted St & Wrightwood Ave,casual,299
2023SummerRide,Chicago Ave & Sheridan Rd,casual,298
2023FallRide,Wabash Ave & Roosevelt Rd,casual,295
2023SpringRide,Sedgwick St & Huron St,casual,294
2023SummerRide,Wabash Ave & Adams St,casual,294
2023SummerRide,Burling St & Diversey Pkwy,casual,294
2023SummerRide,Hampden Ct & Diversey Ave,casual,294
2023SummerRide,Carpenter St & Huron St,casual,293
2023SummerRide,Damen Ave & Thomas St (Augusta Blvd),casual,292
2023FallRide,Clark St & Grace St,casual,291
2023SummerRide,Paulina Ave & North Ave,casual,290
2023SummerRide,Western Ave & Division St,casual,290
2023FallRide,Sheffield Ave & Fullerton Ave,casual,290
2023SpringRide,Wentworth Ave & Cermak Rd,casual,289
2023SummerRide,Wood St & Chicago Ave,casual,289
2023SpringRide,Ogden Ave & Chicago Ave,casual,288
2023SpringRide,Wells St & Polk St,casual,288
2023SummerRide,Humboldt Blvd & Armitage Ave,casual,288
2023FallRide,Pine Grove Ave & Waveland Ave,casual,288
2023FallRide,Wells St & Evergreen Ave,casual,288
2023SummerRide,Walsh Park,casual,287
2023SummerRide,Damen Ave & Wellington Ave,casual,285
2023FallRide,Kingsbury St & Kinzie St,casual,285
2023SpringRide,Halsted St & Maxwell St,casual,284
2023FallRide,Sheffield Ave & Wellington Ave,casual,284
2023FallRide,Broadway & Belmont Ave,casual,284
2023SpringRide,Sheffield Ave & Wrightwood Ave,casual,283
2023SummerRide,Damen Ave & Division St,casual,283
2023SummerRide,Michigan Ave & Ida B Wells Dr,casual,282
2023FallRide,LaSalle St & Illinois St,casual,282
2023SummerRide,Blue Island Ave & 18th St,casual,281
2023SpringRide,Desplaines St & Jackson Blvd,casual,280
2023FallRide,Clark St & Drummond Pl,casual,280
2023SummerRide,Eckhart Park,casual,279
2023SummerRide,Leavitt St & North Ave,casual,279
2023FallRide,Lincoln Park Conservatory,casual,279
2023SpringRide,Elston Ave & Cortland St,casual,278
2023SpringRide,Southport Ave & Wellington Ave,casual,278
2023SpringRide,Wabash Ave & Wacker Pl,casual,278
2023SpringRide,LaSalle Dr & Huron St,casual,277
2023SummerRide,Damen Ave & Grand Ave,casual,276
2023SpringRide,Damen Ave & Chicago Ave,casual,275
2023FallRide,Sheridan Rd & Irving Park Rd,casual,275
2023SpringRide,Dayton St & North Ave,casual,274
2023SummerRide,Dearborn St & Adams St,casual,274
2023SummerRide,Cannon Dr & Fullerton Ave,casual,274
2023SummerRide,Wolcott (Ravenswood) Ave & Montrose Ave,casual,273
2023FallRide,Kedzie Ave & Milwaukee Ave,casual,273
2023FallRide,Sheffield Ave & Webster Ave,casual,273
2023SpringRide,Dearborn St & Adams St,casual,272
2023FallRide,Wells St & Huron St,casual,272
2023FallRide,State St & Chicago Ave,casual,272
2023FallRide,Marine Dr & Ainslie St,casual,269
2023FallRide,Pine Grove Ave & Irving Park Rd,casual,269
2023FallRide,St. Clair St & Erie St,casual,269
2023SpringRide,Sedgwick St & North Ave,casual,268
2023SummerRide,Central Park Ave & Bloomingdale Ave,casual,268
2023SpringRide,Sedgwick St & Webster Ave,casual,267
2023SummerRide,Orleans St & Chestnut St (NEXT Apts),casual,267
2023FallRide,Southport Ave & Belmont Ave,casual,267
2023SpringRide,Sheridan Rd & Montrose Ave,casual,266
2023SummerRide,State St & Harrison St,casual,266
2023SummerRide,Southport Ave & Irving Park Rd,casual,266
2023FallRide,Halsted St & Clybourn Ave,casual,266
2023SummerRide,Wood St & Augusta Blvd,casual,265
2023SummerRide,Desplaines St & Jackson Blvd,casual,265
2023SummerRide,Delano Ct & Roosevelt Rd,casual,265
2023SummerRide,Leavitt St & Armitage Ave,casual,264
2023FallRide,Clarendon Ave & Gordon Ter,casual,264
2023FallRide,Ravenswood Ave & Lawrence Ave,casual,264
2023SpringRide,Albany Ave & Bloomingdale Ave,casual,263
2023SummerRide,Larrabee St & North Ave,casual,263
2023SummerRide,Michigan Ave & 18th St,casual,263
2023SpringRide,Lake Park Ave & 56th St,casual,262
2023SummerRide,Sheridan Rd & Argyle St,casual,262
2023SummerRide,California Ave & North Ave,casual,262
2023SummerRide,Clark St & Bryn Mawr Ave,casual,262
2023FallRide,Ritchie Ct & Banks St,casual,262
2023SpringRide,State St & Van Buren St,casual,261
2023SpringRide,Rush St & Superior St,casual,261
2023SummerRide,Broadway & Granville Ave,casual,261
2023SpringRide,Ashland Ave & Lake St,casual,258
2023SpringRide,Carpenter St & Huron St,casual,258
2023SpringRide,Mies van der Rohe Way & Chicago Ave,casual,258
2023FallRide,Halsted St & Dickens Ave,casual,258
2023FallRide,Cityfront Plaza Dr & Pioneer Ct,casual,258
2023FallRide,Wells St & Hubbard St,casual,258
2023SummerRide,Green St & Washington Blvd,casual,257
2023SummerRide,MLK Jr Dr & 29th St,casual,257
2023SpringRide,Halsted St & Dickens Ave,casual,256
2023FallRide,California Ave & Milwaukee Ave,casual,256
2023SpringRide,Halsted St & Roosevelt Rd,casual,255
2023SummerRide,Ashland Ave & Wellington Ave,casual,255
2023SummerRide,Ashland Ave & Wrightwood Ave,casual,255
2023SummerRide,Milwaukee Ave & Rockwell St,casual,255
2023SpringRide,California Ave & Cortez St,casual,254
2023SpringRide,May St & Taylor St,casual,254
2023SummerRide,Orleans St & Hubbard St,casual,254
2023SummerRide,California Ave & Division St,casual,254
2023SpringRide,Michigan Ave & Ida B Wells Dr,casual,253
2023SummerRide,Lincoln Ave & Belle Plaine Ave,casual,252
2023SummerRide,Damen Ave & Clybourn Ave,casual,252
2023SummerRide,Lincoln Ave & Roscoe St*,casual,251
