weeknum,start_station_name,member_casual,count_of_users
24,DuSable Lake Shore Dr & Diversey Pkwy,casual,75
25,Lakefront Trail & Bryn Mawr Ave,casual,75
25,Sheridan Rd & Buena Ave,casual,75
25,Ritchie Ct & Banks St,casual,75
27,Michigan Ave & 8th St,casual,75
28,Sheridan Rd & Argyle St,casual,75
29,Halsted St & Fulton St,casual,75
29,Clark St & Grace St,casual,75
29,Lincoln Park Conservatory,casual,75
29,Wells St & Hubbard St,casual,75
30,Wilton Ave & Belmont Ave,casual,75
30,Lincoln Ave & Fullerton Ave,casual,75
31,DuSable Lake Shore Dr & Monroe St,casual,75
8,Millennium Park,casual,74
11,Wells St & Elm St,casual,74
12,Ellis Ave & 55th St,casual,74
13,Larrabee St & Kingsbury St,casual,74
15,Peoria St & Jackson Blvd,casual,74
15,Sheffield Ave & Kingsbury St,casual,74
16,Clark St & Elm St,casual,74
16,Halsted St & Roscoe St,casual,74
